Gmt time,Open,High,Low,Close,Volume
01.03.2020 00:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 01:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 02:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 03:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 04:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 05:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 06:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 07:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 08:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 09:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 10:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 11:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 12:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 13:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 14:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 15:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 16:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 17:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 18:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 19:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 20:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 21:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 22:00:00.000,1336.947,1336.947,1336.947,1336.947,0
01.03.2020 23:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 00:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 01:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 02:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 03:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 04:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 05:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 06:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 07:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 08:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 09:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 10:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 11:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 12:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 13:00:00.000,1336.947,1336.947,1336.947,1336.947,0
02.03.2020 14:00:00.000,1351.297,1357.958,1334.397,1337.997,4.559
02.03.2020 15:00:00.000,1337.998,1346.797,1323.057,1341.058,9.488
02.03.2020 16:00:00.000,1341.347,1368.707,1340.997,1365.627,11.3805
02.03.2020 17:00:00.000,1365.627,1367.708,1354.117,1363.588,7.4802
02.03.2020 18:00:00.000,1363.588,1364.718,1350.777,1356.667,8.9937
02.03.2020 19:00:00.000,1356.667,1360.288,1339.997,1345.307,9.0308
02.03.2020 20:00:00.000,1345.308,1389.328,1345.307,1389.097,9.845
02.03.2020 21:00:00.000,1389.097,1389.097,1389.097,1389.097,0
02.03.2020 22:00:00.000,1389.097,1389.097,1389.097,1389.097,0
02.03.2020 23:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 00:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 01:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 02:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 03:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 04:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 05:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 06:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 07:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 08:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 09:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 10:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 11:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 12:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 13:00:00.000,1389.097,1389.097,1389.097,1389.097,0
03.03.2020 14:00:00.000,1395.388,1397.938,1368.817,1372.548,3.3405
03.03.2020 15:00:00.000,1372.548,1410.047,1372.548,1402.058,7.1572
03.03.2020 16:00:00.000,1402.018,1404.617,1367.397,1381.687,7.9433
03.03.2020 17:00:00.000,1381.687,1386.918,1373.007,1376.697,8.7205
03.03.2020 18:00:00.000,1376.707,1376.707,1345.767,1346.118,10.6643
03.03.2020 19:00:00.000,1346.158,1348.698,1329.997,1341.868,11.6785
03.03.2020 20:00:00.000,1342.127,1356.058,1333.047,1339.837,12.617
03.03.2020 21:00:00.000,1339.837,1339.837,1339.837,1339.837,0
03.03.2020 22:00:00.000,1339.837,1339.837,1339.837,1339.837,0
03.03.2020 23:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 00:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 01:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 02:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 03:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 04:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 05:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 06:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 07:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 08:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 09:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 10:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 11:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 12:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 13:00:00.000,1339.837,1339.837,1339.837,1339.837,0
04.03.2020 14:00:00.000,1354.998,1361.247,1341.997,1344.288,4.1435
04.03.2020 15:00:00.000,1345.858,1362.157,1342.088,1348.317,7.1023
04.03.2020 16:00:00.000,1348.847,1360.567,1345.917,1350.008,6.0652
04.03.2020 17:00:00.000,1350.008,1367.057,1350.008,1366.328,4.7475
04.03.2020 18:00:00.000,1366.327,1372.698,1366.257,1368.048,4.4598
04.03.2020 19:00:00.000,1368.047,1377.898,1364.947,1369.207,4.2675
04.03.2020 20:00:00.000,1369.207,1386.977,1368.328,1384.907,8.6307
04.03.2020 21:00:00.000,1384.907,1384.907,1384.907,1384.907,0
04.03.2020 22:00:00.000,1384.907,1384.907,1384.907,1384.907,0
04.03.2020 23:00:00.000,1384.907,1384.907,1384.907,1384.907,0
05.03.2020 00:00:00.000,1384.907,1384.907,1384.907,1384.907,0
05.03.2020 01:00:00.000,1384.907,1384.907,1384.907,1384.907,0
